id,name,area,route,widget,roles,after,declared_scene_count,related_tests,remaining
DS-003,搜索结果,discovery,全局搜索 → 提交关键词,SearchResultsPage,ordinary,renders/sealed123-final-default/390x844-text1.0/DS-003.png,3,message_center_search_test.dart;message_notification_race_ui_test.dart;message_first_party_boundary_ui_test.dart;q03_message_visibility_test.dart;social_relations_return_refresh_test.dart;video_runtime_account_profile_race_test.dart;video_runtime_account_relations_refresh_test.dart;discovery_presentation_race_test.dart;discovery_room_cover_cards_test.dart,"Native keyboard/gestures/assistive technology, real role transition and device/build acceptance; explicitly unlisted state combinations are not promoted."
DS-004,发现动态流,discovery,根导航 → 发现,DiscoveryFeedPage,ordinary,renders/sealed123-final-default/390x844-text1.0/DS-004.png,3,message_center_search_test.dart;message_notification_race_ui_test.dart;message_first_party_boundary_ui_test.dart;q03_message_visibility_test.dart;social_relations_return_refresh_test.dart;video_runtime_account_profile_race_test.dart;video_runtime_account_relations_refresh_test.dart;discovery_presentation_race_test.dart;discovery_room_cover_cards_test.dart,"Native keyboard/gestures/assistive technology, real role transition and device/build acceptance; explicitly unlisted state combinations are not promoted."
DS-005,动态详情与评论,discovery,发现动态流 → 动态正文,DynamicDetailPage,ordinary,renders/sealed123-final-default/390x844-text1.0/DS-005.png,5,message_center_search_test.dart;message_notification_race_ui_test.dart;message_first_party_boundary_ui_test.dart;q03_message_visibility_test.dart;social_relations_return_refresh_test.dart;video_runtime_account_profile_race_test.dart;video_runtime_account_relations_refresh_test.dart;discovery_presentation_race_test.dart;discovery_room_cover_cards_test.dart,"Native keyboard/gestures/assistive technology, real role transition and device/build acceptance; explicitly unlisted state combinations are not promoted."
DS-006,发布动态,discovery,发现 → 发布动态,PublishDynamicPage,scenario-defined,renders/sealed123-final-default/390x844-text1.0/DS-006.png,1,message_center_search_test.dart;message_notification_race_ui_test.dart;message_first_party_boundary_ui_test.dart;q03_message_visibility_test.dart;social_relations_return_refresh_test.dart;video_runtime_account_profile_race_test.dart;video_runtime_account_relations_refresh_test.dart;discovery_presentation_race_test.dart;discovery_room_cover_cards_test.dart,"Native keyboard/gestures/assistive technology, real role transition and device/build acceptance; explicitly unlisted state combinations are not promoted."
DS-007,用户与房间排行榜,discovery,发现 → 排行榜,RankingPage,ordinary; scenario-defined,renders/sealed123-final-default/390x844-text1.0/DS-007.png,5,message_center_search_test.dart;message_notification_race_ui_test.dart;message_first_party_boundary_ui_test.dart;q03_message_visibility_test.dart;social_relations_return_refresh_test.dart;video_runtime_account_profile_race_test.dart;video_runtime_account_relations_refresh_test.dart;discovery_presentation_race_test.dart;discovery_room_cover_cards_test.dart,"Native keyboard/gestures/assistive technology, real role transition and device/build acceptance; explicitly unlisted state combinations are not promoted."
DS-008,收藏与我的房间,discovery,首页 → 收藏与我的房间,SavedRoomsPage,ordinary,renders/sealed123-final-default/390x844-text1.0/DS-008.png,3,message_center_search_test.dart;message_notification_race_ui_test.dart;message_first_party_boundary_ui_test.dart;q03_message_visibility_test.dart;social_relations_return_refresh_test.dart;video_runtime_account_profile_race_test.dart;video_runtime_account_relations_refresh_test.dart;discovery_presentation_race_test.dart;discovery_room_cover_cards_test.dart,"Native keyboard/gestures/assistive technology, real role transition and device/build acceptance; explicitly unlisted state combinations are not promoted."
US-001,个人中心,social,根导航 → 我的,PersonalCenterPage,ordinary,renders/sealed123-final-default/390x844-text1.0/US-001.png,2,message_center_search_test.dart;message_notification_race_ui_test.dart;message_first_party_boundary_ui_test.dart;q03_message_visibility_test.dart;social_relations_return_refresh_test.dart;video_runtime_account_profile_race_test.dart;video_runtime_account_relations_refresh_test.dart;discovery_presentation_race_test.dart;discovery_room_cover_cards_test.dart,"Native keyboard/gestures/assistive technology, real role transition and device/build acceptance; explicitly unlisted state combinations are not promoted."
US-002,编辑个人资料,social,我的 → 编辑个人资料,EditProfilePage,scenario-defined,renders/sealed123-final-default/390x844-text1.0/US-002.png,1,message_center_search_test.dart;message_notification_race_ui_test.dart;message_first_party_boundary_ui_test.dart;q03_message_visibility_test.dart;social_relations_return_refresh_test.dart;video_runtime_account_profile_race_test.dart;video_runtime_account_relations_refresh_test.dart;discovery_presentation_race_test.dart;discovery_room_cover_cards_test.dart,"Native keyboard/gestures/assistive technology, real role transition and device/build acceptance; explicitly unlisted state combinations are not promoted."
US-003,他人公开主页,social,搜索结果/成员/榜单 → 用户,PublicProfilePage,ordinary; scenario-defined,renders/sealed123-final-default/390x844-text1.0/US-003.png,3,message_center_search_test.dart;message_notification_race_ui_test.dart;message_first_party_boundary_ui_test.dart;q03_message_visibility_test.dart;social_relations_return_refresh_test.dart;video_runtime_account_profile_race_test.dart;video_runtime_account_relations_refresh_test.dart;discovery_presentation_race_test.dart;discovery_room_cover_cards_test.dart,"Native keyboard/gestures/assistive technology, real role transition and device/build acceptance; explicitly unlisted state combinations are not promoted."
US-004,关注、粉丝与好友列表,social,我的 → 关注、粉丝与好友,RelationsPage,ordinary,renders/sealed123-final-default/390x844-text1.0/US-004.png,3,message_center_search_test.dart;message_notification_race_ui_test.dart;message_first_party_boundary_ui_test.dart;q03_message_visibility_test.dart;social_relations_return_refresh_test.dart;video_runtime_account_profile_race_test.dart;video_runtime_account_relations_refresh_test.dart;discovery_presentation_race_test.dart;discovery_room_cover_cards_test.dart,"Native keyboard/gestures/assistive technology, real role transition and device/build acceptance; explicitly unlisted state combinations are not promoted."
US-006,访客记录,social,我的 → 访客记录,VisitorRecordsPage,ordinary,renders/sealed123-final-default/390x844-text1.0/US-006.png,3,message_center_search_test.dart;message_notification_race_ui_test.dart;message_first_party_boundary_ui_test.dart;q03_message_visibility_test.dart;social_relations_return_refresh_test.dart;video_runtime_account_profile_race_test.dart;video_runtime_account_relations_refresh_test.dart;discovery_presentation_race_test.dart;discovery_room_cover_cards_test.dart,"Native keyboard/gestures/assistive technology, real role transition and device/build acceptance; explicitly unlisted state combinations are not promoted."
US-007,隐私与黑名单,social,我的 → 隐私与黑名单,PrivacyBlacklistPage,ordinary,renders/sealed123-final-default/390x844-text1.0/US-007.png,3,message_center_search_test.dart;message_notification_race_ui_test.dart;message_first_party_boundary_ui_test.dart;q03_message_visibility_test.dart;social_relations_return_refresh_test.dart;video_runtime_account_profile_race_test.dart;video_runtime_account_relations_refresh_test.dart;discovery_presentation_race_test.dart;discovery_room_cover_cards_test.dart,"Native keyboard/gestures/assistive technology, real role transition and device/build acceptance; explicitly unlisted state combinations are not promoted."
US-008,举报用户或房间,social,用户/房间 → 更多 → 举报,ReportPage,scenario-defined,renders/sealed123-final-default/390x844-text1.0/US-008.png,1,message_center_search_test.dart;message_notification_race_ui_test.dart;message_first_party_boundary_ui_test.dart;q03_message_visibility_test.dart;social_relations_return_refresh_test.dart;video_runtime_account_profile_race_test.dart;video_runtime_account_relations_refresh_test.dart;discovery_presentation_race_test.dart;discovery_room_cover_cards_test.dart,"Native keyboard/gestures/assistive technology, real role transition and device/build acceptance; explicitly unlisted state combinations are not promoted."
US-009,帮助与客服中心,social,我的 → 帮助与客服,HelpCenterPage,ordinary; scenario-defined,renders/sealed123-final-default/390x844-text1.0/US-009.png,6,message_center_search_test.dart;message_notification_race_ui_test.dart;message_first_party_boundary_ui_test.dart;q03_message_visibility_test.dart;social_relations_return_refresh_test.dart;video_runtime_account_profile_race_test.dart;video_runtime_account_relations_refresh_test.dart;discovery_presentation_race_test.dart;discovery_room_cover_cards_test.dart,"Native keyboard/gestures/assistive technology, real role transition and device/build acceptance; explicitly unlisted state combinations are not promoted."
US-010,工单详情与处理进度,social,帮助与客服 → 我的反馈 → 工单详情,SupportTicketPage,ordinary,renders/sealed123-final-default/390x844-text1.0/US-010.png,5,message_center_search_test.dart;message_notification_race_ui_test.dart;message_first_party_boundary_ui_test.dart;q03_message_visibility_test.dart;social_relations_return_refresh_test.dart;video_runtime_account_profile_race_test.dart;video_runtime_account_relations_refresh_test.dart;discovery_presentation_race_test.dart;discovery_room_cover_cards_test.dart,"Native keyboard/gestures/assistive technology, real role transition and device/build acceptance; explicitly unlisted state combinations are not promoted."
RM-001,创建房间,room,首页 → 创建房间,CreateRoomPage,chair,renders/sealed123-final-default/390x844-text1.0/RM-001.png,3,room_operations_pages_test.dart;room_manager_pk_entry_test.dart;room_tools_small_screen_regression_test.dart;room_configuration_form_test.dart;room_management_revocation_test.dart;room_mic_approval_auto_sync_regression_test.dart;room_leave_mic_feedback_test.dart;room_closed_owner_rules_test.dart;room_pk_automatic_sync_test.dart,"Native keyboard/gestures/assistive technology, real role transition and device/build acceptance; explicitly unlisted state combinations are not promoted."
RM-002,编辑与关闭房间,room,收藏与我的房间 → 我的房间 → 管理,EditRoomPage,ordinary,renders/sealed123-final-default/390x844-text1.0/RM-002.png,2,room_operations_pages_test.dart;room_manager_pk_entry_test.dart;room_tools_small_screen_regression_test.dart;room_configuration_form_test.dart;room_management_revocation_test.dart;room_mic_approval_auto_sync_regression_test.dart;room_leave_mic_feedback_test.dart;room_closed_owner_rules_test.dart;room_pk_automatic_sync_test.dart,"Native keyboard/gestures/assistive technology, real role transition and device/build acceptance; explicitly unlisted state combinations are not promoted."
RM-003,房间直达与深链校验别名,room,搜索/分享/通知深链 → 校验 → 有效目标直接 RM-004,RoomDeepLinkPage,ordinary,renders/sealed123-final-default/390x844-text1.0/RM-003.png,2,room_operations_pages_test.dart;room_manager_pk_entry_test.dart;room_tools_small_screen_regression_test.dart;room_configuration_form_test.dart;room_management_revocation_test.dart;room_mic_approval_auto_sync_regression_test.dart;room_leave_mic_feedback_test.dart;room_closed_owner_rules_test.dart;room_pk_automatic_sync_test.dart,"Native keyboard/gestures/assistive technology, real role transition and device/build acceptance; explicitly unlisted state combinations are not promoted."
RM-004,语音房主界面,room,首页/搜索/榜单/通知有效房间入口 → 语音房,RoomPage,listener; moderator; ordinary; owner; platformModerator,renders/sealed123-final-default/390x844-text1.0/RM-004.png,10,room_operations_pages_test.dart;room_manager_pk_entry_test.dart;room_tools_small_screen_regression_test.dart;room_configuration_form_test.dart;room_management_revocation_test.dart;room_mic_approval_auto_sync_regression_test.dart;room_leave_mic_feedback_test.dart;room_closed_owner_rules_test.dart;room_pk_automatic_sync_test.dart,"Native keyboard/gestures/assistive technology, real role transition and device/build acceptance; explicitly unlisted state combinations are not promoted."
RM-005,上麦申请与麦位选择,room,RM-004 → 申请上麦,_MicRequestSheet (via RoomPage),listener; moderator; owner,renders/sealed123-final-default/390x844-text1.0/RM-005.png,6,room_operations_pages_test.dart;room_manager_pk_entry_test.dart;room_tools_small_screen_regression_test.dart;room_configuration_form_test.dart;room_management_revocation_test.dart;room_mic_approval_auto_sync_regression_test.dart;room_leave_mic_feedback_test.dart;room_closed_owner_rules_test.dart;room_pk_automatic_sync_test.dart,"Native keyboard/gestures/assistive technology, real role transition and device/build acceptance; explicitly unlisted state combinations are not promoted."
RM-006,在线成员与听众席,room,RM-004 → 成员,RoomMembersPage,ordinary,renders/sealed123-final-default/390x844-text1.0/RM-006.png,3,room_operations_pages_test.dart;room_manager_pk_entry_test.dart;room_tools_small_screen_regression_test.dart;room_configuration_form_test.dart;room_management_revocation_test.dart;room_mic_approval_auto_sync_regression_test.dart;room_leave_mic_feedback_test.dart;room_closed_owner_rules_test.dart;room_pk_automatic_sync_test.dart,"Native keyboard/gestures/assistive technology, real role transition and device/build acceptance; explicitly unlisted state combinations are not promoted."
RM-007,房主管理与处罚,room,RM-004 → 更多 → 房间管理,RoomManagementPage,roomOwner,renders/sealed123-final-default/390x844-text1.0/RM-007.png,3,room_operations_pages_test.dart;room_manager_pk_entry_test.dart;room_tools_small_screen_regression_test.dart;room_configuration_form_test.dart;room_management_revocation_test.dart;room_mic_approval_auto_sync_regression_test.dart;room_leave_mic_feedback_test.dart;room_closed_owner_rules_test.dart;room_pk_automatic_sync_test.dart,"Native keyboard/gestures/assistive technology, real role transition and device/build acceptance; explicitly unlisted state combinations are not promoted."
RM-008,房间公告编辑,room,RM-004 → 公告,RoomTopicPage,ordinary,renders/sealed123-final-default/390x844-text1.0/RM-008.png,3,room_operations_pages_test.dart;room_manager_pk_entry_test.dart;room_tools_small_screen_regression_test.dart;room_configuration_form_test.dart;room_management_revocation_test.dart;room_mic_approval_auto_sync_regression_test.dart;room_leave_mic_feedback_test.dart;room_closed_owner_rules_test.dart;room_pk_automatic_sync_test.dart,"Native keyboard/gestures/assistive technology, real role transition and device/build acceptance; explicitly unlisted state combinations are not promoted."
RM-010,音频路由与麦克风控制,room,RM-004 → 更多 → 音频与麦克风,RoomAudioPage,scenario-defined,renders/sealed123-final-default/390x844-text1.0/RM-010.png,5,room_operations_pages_test.dart;room_manager_pk_entry_test.dart;room_tools_small_screen_regression_test.dart;room_configuration_form_test.dart;room_management_revocation_test.dart;room_mic_approval_auto_sync_regression_test.dart;room_leave_mic_feedback_test.dart;room_closed_owner_rules_test.dart;room_pk_automatic_sync_test.dart,"Native keyboard/gestures/assistive technology, real role transition and device/build acceptance; explicitly unlisted state combinations are not promoted."
RM-011,弱网重连与会话恢复,room,RM-004 → 更多 → 弱网重连与会话恢复,RoomRecoveryPage,scenario-defined,renders/sealed123-final-default/390x844-text1.0/RM-011.png,3,room_operations_pages_test.dart;room_manager_pk_entry_test.dart;room_tools_small_screen_regression_test.dart;room_configuration_form_test.dart;room_management_revocation_test.dart;room_mic_approval_auto_sync_regression_test.dart;room_leave_mic_feedback_test.dart;room_closed_owner_rules_test.dart;room_pk_automatic_sync_test.dart,"Native keyboard/gestures/assistive technology, real role transition and device/build acceptance; explicitly unlisted state combinations are not promoted."
RM-013,PK 邀请与准备,room,RM-004 → 更多 → 房间 PK,RoomPkPreparationPage,scenario-defined,renders/sealed123-final-default/390x844-text1.0/RM-013.png,3,room_operations_pages_test.dart;room_manager_pk_entry_test.dart;room_tools_small_screen_regression_test.dart;room_configuration_form_test.dart;room_management_revocation_test.dart;room_mic_approval_auto_sync_regression_test.dart;room_leave_mic_feedback_test.dart;room_closed_owner_rules_test.dart;room_pk_automatic_sync_test.dart,"Native keyboard/gestures/assistive technology, real role transition and device/build acceptance; explicitly unlisted state combinations are not promoted."
RM-014,PK 对战与结算,room,PK 邀请接受 → 对战 → 服务端结算,RoomPkBattlePage,scenario-defined,renders/sealed123-final-default/390x844-text1.0/RM-014.png,5,room_operations_pages_test.dart;room_manager_pk_entry_test.dart;room_tools_small_screen_regression_test.dart;room_configuration_form_test.dart;room_management_revocation_test.dart;room_mic_approval_auto_sync_regression_test.dart;room_leave_mic_feedback_test.dart;room_closed_owner_rules_test.dart;room_pk_automatic_sync_test.dart,"Native keyboard/gestures/assistive technology, real role transition and device/build acceptance; explicitly unlisted state combinations are not promoted."
MS-001,会话列表,message,根导航 → 消息,MessageCenterPage,ordinary,renders/sealed123-final-default/390x844-text1.0/MS-001.png,3,message_center_search_test.dart;message_notification_race_ui_test.dart;message_first_party_boundary_ui_test.dart;q03_message_visibility_test.dart;social_relations_return_refresh_test.dart;video_runtime_account_profile_race_test.dart;video_runtime_account_relations_refresh_test.dart;discovery_presentation_race_test.dart;discovery_room_cover_cards_test.dart,"Native keyboard/gestures/assistive technology, real role transition and device/build acceptance; explicitly unlisted state combinations are not promoted."
MS-002,私聊会话,message,消息列表/成员 → 私聊会话,PrivateChatPage,ordinary,renders/sealed123-final-default/390x844-text1.0/MS-002.png,10,message_center_search_test.dart;message_notification_race_ui_test.dart;message_first_party_boundary_ui_test.dart;q03_message_visibility_test.dart;social_relations_return_refresh_test.dart;video_runtime_account_profile_race_test.dart;video_runtime_account_relations_refresh_test.dart;discovery_presentation_race_test.dart;discovery_room_cover_cards_test.dart,"Native keyboard/gestures/assistive technology, real role transition and device/build acceptance; explicitly unlisted state combinations are not promoted."
MS-003,系统与互动通知,message,消息 → 系统与互动通知,NotificationCenterPage,ordinary,renders/sealed123-final-default/390x844-text1.0/MS-003.png,3,message_center_search_test.dart;message_notification_race_ui_test.dart;message_first_party_boundary_ui_test.dart;q03_message_visibility_test.dart;social_relations_return_refresh_test.dart;video_runtime_account_profile_race_test.dart;video_runtime_account_relations_refresh_test.dart;discovery_presentation_race_test.dart;discovery_room_cover_cards_test.dart,"Native keyboard/gestures/assistive technology, real role transition and device/build acceptance; explicitly unlisted state combinations are not promoted."
MS-004,通知详情,message,通知中心 → 通知,NotificationDetailPage,ordinary,renders/sealed123-final-default/390x844-text1.0/MS-004.png,3,message_center_search_test.dart;message_notification_race_ui_test.dart;message_first_party_boundary_ui_test.dart;q03_message_visibility_test.dart;social_relations_return_refresh_test.dart;video_runtime_account_profile_race_test.dart;video_runtime_account_relations_refresh_test.dart;discovery_presentation_race_test.dart;discovery_room_cover_cards_test.dart,"Native keyboard/gestures/assistive technology, real role transition and device/build acceptance; explicitly unlisted state combinations are not promoted."
MS-005,通知目标不可用,message,通知详情 → 已删除/关闭/失效目标,NotificationTargetUnavailablePage,Current unavailable/static page; no new role granted,renders/sealed123-final-default/390x844-text1.0/MS-005.png,0,message_center_search_test.dart;message_notification_race_ui_test.dart;message_first_party_boundary_ui_test.dart;q03_message_visibility_test.dart;social_relations_return_refresh_test.dart;video_runtime_account_profile_race_test.dart;video_runtime_account_relations_refresh_test.dart;discovery_presentation_race_test.dart;discovery_room_cover_cards_test.dart,"Native keyboard/gestures/assistive technology, real role transition and device/build acceptance; explicitly unlisted state combinations are not promoted."
MS-006,通知权限与消息恢复,message,消息 → 通知权限与消息恢复,MessagePermissionRecoveryPage,ordinary,renders/sealed123-final-default/390x844-text1.0/MS-006.png,8,message_center_search_test.dart;message_notification_race_ui_test.dart;message_first_party_boundary_ui_test.dart;q03_message_visibility_test.dart;social_relations_return_refresh_test.dart;video_runtime_account_profile_race_test.dart;video_runtime_account_relations_refresh_test.dart;discovery_presentation_race_test.dart;discovery_room_cover_cards_test.dart,"Native keyboard/gestures/assistive technology, real role transition and device/build acceptance; explicitly unlisted state combinations are not promoted."
CM-001,钱包与流水,commerce,我的 → 钱包、订单与收益 → 钱包与流水,WalletPage,ordinary; scenario-defined,renders/sealed123-final-default/390x844-text1.0/CM-001.png,6,gift_sheet_independent_results_test.dart;gift_sheet_live_targets_test.dart;gift_success_feedback_test.dart;decoration_renewal_ui_test.dart;decoration_renewal_contract_test.dart;equipped_decoration_view_test.dart;backend_commerce_repository_contract_test.dart;community_presentation_contract_test.dart;backend_community_repository_contract_test.dart;guild_join_real_name_test.dart,"Native keyboard/gestures/assistive technology, real role transition and device/build acceptance; explicitly unlisted state combinations are not promoted."
CM-002,充值商品目录,commerce,钱包/礼物余额不足 → 充值商品目录,RechargeCatalogPage,ordinary,renders/sealed123-final-default/390x844-text1.0/CM-002.png,3,gift_sheet_independent_results_test.dart;gift_sheet_live_targets_test.dart;gift_success_feedback_test.dart;decoration_renewal_ui_test.dart;decoration_renewal_contract_test.dart;equipped_decoration_view_test.dart;backend_commerce_repository_contract_test.dart;community_presentation_contract_test.dart;backend_community_repository_contract_test.dart;guild_join_real_name_test.dart,"Native keyboard/gestures/assistive technology, real role transition and device/build acceptance; explicitly unlisted state combinations are not promoted."
CM-003,支付方式与提交中,commerce,充值商品目录 → 选择商品,PaymentSubmissionPage,scenario-defined,renders/sealed123-final-default/390x844-text1.0/CM-003.png,3,gift_sheet_independent_results_test.dart;gift_sheet_live_targets_test.dart;gift_success_feedback_test.dart;decoration_renewal_ui_test.dart;decoration_renewal_contract_test.dart;equipped_decoration_view_test.dart;backend_commerce_repository_contract_test.dart;community_presentation_contract_test.dart;backend_community_repository_contract_test.dart;guild_join_real_name_test.dart,"Native keyboard/gestures/assistive technology, real role transition and device/build acceptance; explicitly unlisted state combinations are not promoted."
CM-004,支付返回与结果,commerce,支付返回 → 服务端订单状态确认,PaymentResultPage,ordinary,renders/sealed123-final-default/390x844-text1.0/CM-004.png,7,gift_sheet_independent_results_test.dart;gift_sheet_live_targets_test.dart;gift_success_feedback_test.dart;decoration_renewal_ui_test.dart;decoration_renewal_contract_test.dart;equipped_decoration_view_test.dart;backend_commerce_repository_contract_test.dart;community_presentation_contract_test.dart;backend_community_repository_contract_test.dart;guild_join_real_name_test.dart,"Native keyboard/gestures/assistive technology, real role transition and device/build acceptance; explicitly unlisted state combinations are not promoted."
